experiment_id,symbol,policy_name,fill_index,side,order_created_at,executed_at,reference_price,fill_price,quantity,notional,fee,cash_flow
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,18,sell,2024-01-01T19:00:00Z,2024-01-01T20:00:00Z,43517.98,43496.22101000001,4.058929901912257e-05,1.7654811207767318,0.0017654811207767319,1.763715639655955
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,19,sell,2024-01-01T20:00:00Z,2024-01-01T21:00:00Z,43687.85,43666.006075,1.6865982685344635e-05,0.7364701023991036,0.0007364701023991037,0.7357336322967045
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,20,sell,2024-01-01T21:00:00Z,2024-01-01T22:00:00Z,43619.22,43597.410390000005,0.011522407901552725,502.3471459649729,0.502347145964973,501.84479881900796
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,21,buy,2024-01-01T22:00:00Z,2024-01-01T23:00:00Z,43529.94,43551.70497,4.539074611320374e-06,0.19768443830904234,0.00019768443830904235,-0.19788212274735137
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,22,buy,2024-01-01T23:00:00Z,2024-01-02T00:00:00Z,44179.55,44201.639775,0.011347397597685294,501.5735809965858,0.5015735809965858,-502.0751545775824
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,23,sell,2024-01-02T00:00:00Z,2024-01-02T01:00:00Z,45056.0,45033.472,9.576132333169956e-05,4.312464872941039,0.004312464872941039,4.308152408068098
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,24,sell,2024-01-02T01:00:00Z,2024-01-02T02:00:00Z,44855.96,44833.53202,0.011340890360644248,508.45217111925325,0.5084521711192532,507.943718948134
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,25,buy,2024-01-02T02:00:00Z,2024-01-02T03:00:00Z,45378.96,45401.64948,0.011199862941850318,508.49225150992976,0.5084922515099297,-509.0007437614397
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,26,sell,2024-01-02T03:00:00Z,2024-01-02T04:00:00Z,45402.38,45379.67881,1.4774321948428921e-05,0.6704539846552378,0.0006704539846552378,0.6697835306705825
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,27,sell,2024-01-02T04:00:00Z,2024-01-02T05:00:00Z,45179.8,45157.210100000004,0.011236393712048577,507.40419162129655,0.5074041916212966,506.89678742967527
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,28,sell,2024-01-02T05:00:00Z,2024-01-02T06:00:00Z,45179.48,45156.89026000001,4.182373118622146e-06,0.18886296394399424,0.00018886296394399424,0.18867410098005025
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,29,buy,2024-01-02T06:00:00Z,2024-01-02T07:00:00Z,45168.75,45191.334375,1.0005027407460973e-06,0.04521405390016082,4.521405390016082e-05,-0.04525926795406098
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,30,buy,2024-01-02T07:00:00Z,2024-01-02T08:00:00Z,45455.52,45478.24775999999,0.011170932251590776,508.03442464801986,0.5080344246480198,-508.5424590726679
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,31,sell,2024-01-02T08:00:00Z,2024-01-02T09:00:00Z,45759.3,45736.42035000001,4.03642624045599e-05,1.8461168724526538,0.0018461168724526538,1.8442707555802011
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,32,sell,2024-01-02T09:00:00Z,2024-01-02T10:00:00Z,45673.48,45650.643260000004,0.01116803171301736,509.8278316473223,0.5098278316473223,509.31800381567496
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,33,buy,2024-01-02T10:00:00Z,2024-01-02T11:00:00Z,45585.0,45607.792499999996,3.9398404792696436e-06,0.17968742706163043,0.00017968742706163043,-0.17986711448869205
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,34,buy,2024-01-02T11:00:00Z,2024-01-02T12:00:00Z,45433.99,45456.70699499999,1.393788382086037e-05,0.6335703009752008,0.0006335703009752009,-0.6342038712761761
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,35,buy,2024-01-02T12:00:00Z,2024-01-02T13:00:00Z,45302.0,45324.651,1.2244387407706607e-05,0.5549725859630966,0.0005549725859630967,-0.5555275585490597
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,36,buy,2024-01-02T13:00:00Z,2024-01-02T14:00:00Z,45637.92,45660.738959999995,0.01114304602797237,508.79971590251114,0.5087997159025112,-509.30851561841365
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,37,sell,2024-01-02T14:00:00Z,2024-01-02T15:00:00Z,45258.73,45236.100635,0.011166577163355033,505.13240831002116,0.5051324083100212,504.62727590171113
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,38,buy,2024-01-02T15:00:00Z,2024-01-02T16:00:00Z,45184.83,45207.422415,2.669480236432415e-06,0.12068032067689426,0.00012068032067689426,-0.12080100099757116
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,39,buy,2024-01-02T16:00:00Z,2024-01-02T17:00:00Z,45357.84,45380.518919999995,0.01114633872470846,505.8266353853609,0.5058266353853609,-506.3324620207462
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,40,sell,2024-01-02T17:00:00Z,2024-01-02T18:00:00Z,44966.16,44943.676920000005,0.011154415801309178,501.32046000538264,0.5013204600053827,500.81913954537725
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,41,buy,2024-01-02T18:00:00Z,2024-01-02T19:00:00Z,45154.7,45177.27735,0.01111322385811749,502.0651964908109,0.5020651964908109,-502.5672616873017
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,42,sell,2024-01-02T19:00:00Z,2024-01-02T20:00:00Z,45039.49,45016.970255,0.011135509754896163,501.28691141042293,0.5012869114104229,500.7856244990125
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,43,buy,2024-01-02T20:00:00Z,2024-01-02T21:00:00Z,44788.27,44810.66413499999,1.9220648804454957e-05,0.8612900380332202,0.0008612900380332203,-0.8621513280712535
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,44,buy,2024-01-02T21:00:00Z,2024-01-02T22:00:00Z,45119.74,45142.299869999995,0.011079737440772666,500.164830032226,0.500164830032226,-500.66499486225825
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,45,sell,2024-01-02T22:00:00Z,2024-01-02T23:00:00Z,44981.72,44959.22914,0.011110430473400035,499.5163894976309,0.4995163894976309,499.01687310813327
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,46,sell,2024-01-02T23:00:00Z,2024-01-03T00:00:00Z,44946.91,44924.436545000004,9.414102862789242e-07,0.04229232666874782,4.229232666874782e-05,0.04225003434207907
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,47,buy,2024-01-03T00:00:00Z,2024-01-03T01:00:00Z,45135.61,45158.177805,0.011056575199381549,499.2947887680253,0.4992947887680253,-499.7940835567933
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,48,sell,2024-01-03T01:00:00Z,2024-01-03T02:00:00Z,45317.58,45294.92121000001,2.906793383550293e-05,1.3166297728165985,0.0013166297728165986,1.3153131430437819
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,49,sell,2024-01-03T02:00:00Z,2024-01-03T03:00:00Z,45274.57,45251.932715,0.011053311268132953,500.18369778350376,0.5001836977835038,499.6835140857203
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,50,sell,2024-01-03T03:00:00Z,2024-01-03T04:00:00Z,45262.7,45240.06865,3.057301664770347e-06,0.1383125371979698,0.00013831253719796978,0.1381742246607718
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,51,buy,2024-01-03T04:00:00Z,2024-01-03T05:00:00Z,45183.45,45206.041724999995,7.2675518105475865e-06,0.32853725038621345,0.00032853725038621345,-0.3288657876365997
rule_based_real_market_BTCUSDT_2024-01-01_2024-12-31_31e4ae5ef79d,BTCUSDT,previous_close_momentum_fractional,52,buy,2024-01-03T05:00:00Z,2024-01-03T06:00:00Z,45172.12,45194.70606,1.0380727095531462e-06,0.04691539097716219,4.691539097716219e-05,-0.046962306368139355
