timestamp,open,high,low,close,volume
2024-01-01T00:00:00Z,42283.58000000,42554.57000000,42261.02000000,42475.23000000,1271.68108000
2024-01-01T01:00:00Z,42475.23000000,42775.00000000,42431.65000000,42613.56000000,1196.37856000
2024-01-01T02:00:00Z,42613.57000000,42638.41000000,42500.00000000,42581.10000000,685.21980000
2024-01-01T03:00:00Z,42581.09000000,42586.64000000,42230.08000000,42330.49000000,794.80391000
2024-01-01T04:00:00Z,42330.50000000,42399.99000000,42209.46000000,42399.99000000,715.41760000
2024-01-01T05:00:00Z,42399.98000000,42406.00000000,42180.77000000,42234.01000000,736.53152000
2024-01-01T06:00:00Z,42234.01000000,42424.82000000,42208.68000000,42396.69000000,601.37250000
2024-01-01T07:00:00Z,42396.69000000,42500.00000000,42396.68000000,42492.46000000,653.67718000
2024-01-01T08:00:00Z,42492.46000000,42556.50000000,42452.58000000,42549.99000000,427.19365000
2024-01-01T09:00:00Z,42550.00000000,42699.32000000,42537.18000000,42649.69000000,879.62491000
2024-01-01T10:00:00Z,42649.69000000,42749.36000000,42628.00000000,42691.10000000,856.81851000
2024-01-01T11:00:00Z,42691.10000000,42762.39000000,42605.21000000,42690.20000000,785.16567000
2024-01-01T12:00:00Z,42690.21000000,42780.00000000,42611.45000000,42648.38000000,785.52851000
2024-01-01T13:00:00Z,42648.37000000,42748.00000000,42612.76000000,42715.54000000,497.20240000
2024-01-01T14:00:00Z,42715.54000000,42715.55000000,42580.00000000,42612.24000000,711.01152000
2024-01-01T15:00:00Z,42612.24000000,42847.07000000,42586.51000000,42783.05000000,942.70163000
2024-01-01T16:00:00Z,42783.05000000,42856.00000000,42664.42000000,42725.15000000,918.71056000
2024-01-01T17:00:00Z,42725.15000000,42824.90000000,42704.42000000,42812.70000000,677.33678000
2024-01-01T18:00:00Z,42812.71000000,43208.86000000,42812.70000000,43111.10000000,2143.30897000
2024-01-01T19:00:00Z,43111.10000000,43550.00000000,43103.64000000,43517.99000000,1947.61533000
2024-01-01T20:00:00Z,43517.98000000,43829.99000000,43510.71000000,43687.86000000,2905.07295000
2024-01-01T21:00:00Z,43687.85000000,43792.59000000,43480.76000000,43619.21000000,1541.59126000
